Actor1CountryCode,Actor2CountryCode,EventBaseCode,SQLDATE,NumMentions
AFR,NGA,01,20040111,7
AFR,NGA,01,20040111,1
EUR,CHN,01,20040111,3
EUR,CHN,01,20040111,1
EUR,CHN,01,20040111,1
GHA,GHA,01,20040111,2
JPN,CHN,01,20040111,4
JPN,CHN,01,20040111,1
USA,USA,09,20040111,10
NGA,AFR,01,20040111,1
USA,CHN,01,20040111,5
USA,USA,17,20040111,10
AFG,PAK,19,20130108,2
AFG,PAK,19,20130108,1
AFG,PAK,19,20130108,5
AFG,USA,01,20130108,2
AFG,USA,01,20130108,2
AFR,ISR,04,20130108,5
ARM,AZE,03,20130108,2
ARM,RUS,03,20130108,4
ARM,RUS,03,20130108,4
ARM,AZE,04,20130108,2
ARM,AZE,04,20130108,2
ARM,AZE,04,20130108,6
AZE,ARM,04,20130108,2
AZE,ARM,04,20130108,2
AZE,ARM,04,20130108,6
AZE,HUN,06,20130108,4
BEL,ESP,01,20130108,2
BEL,ESP,01,20130108,8
BGR,BGR,02,20130108,2
BGR,BGR,02,20130108,4
BGR,BGR,02,20130108,2
BHS,CUB,04,20130108,3
BHS,CUB,04,20130108,9
BHS,CUB,04,20130108,6
BOL,AUT,08,20130108,131
BOL,AUT,08,20130108,34
BOL,AUT,08,20130108,5
CAN,IRL,19,20130108,4
CAN,USA,02,20130108,2
CAN,USA,05,20130108,1
CAN,USA,05,20130108,1
CAN,USA,05,20130108,1
CAN,USA,05,20130108,2
CAN,USA,06,20130108,3
CAN,USA,06,20130108,18
CAN,USA,06,20130108,3
CAN,USA,10,20130108,1
CAN,USA,10,20130108,1
CAN,USA,10,20130108,1
CAN,USA,10,20130108,2
CAN,CAN,02,20130108,7
CAN,CAN,05,20130108,2
CAN,CAN,05,20130108,5
CHE,CHE,04,20130108,1
CHE,RUS,05,20130108,1
CHE,RUS,05,20130108,4
CHE,RUS,05,20130108,8
CHE,CHE,04,20130108,1
CHN,CHN,11,20130108,2
CHN,EUR,04,20130108,10
CHN,IRL,06,20130108,7
CHN,IRN,04,20130108,10
CHN,JPN,13,20130108,1
CHN,JPN,13,20130108,1
CHN,MYS,09,20130108,2
CHN,PHL,04,20130108,10
CHN,USA,04,20130108,2
CHN,USA,04,20130108,2
CHN,USA,09,20130108,6
CHN,USA,09,20130108,6
CHN,USA,01,20130108,10
CHN,USA,08,20130108,10
CHN,CHN,17,20130108,2
CHN,CHN,17,20130108,1
CHN,USA,04,20130108,6
COL,COL,08,20130108,4
COL,COL,17,20130108,1
COL,COL,17,20130108,1
COL,COL,16,20130108,8
COL,COL,08,20130108,12
CUB,BHS,04,20130108,3
CUB,BHS,04,20130108,9
CUB,BHS,04,20130108,6
DEU,EUR,09,20130108,8
DEU,EUR,09,20130108,2
DZA,MRT,04,20130108,10
EGY,ARE,01,20130108,2
EGY,ISR,04,20130108,4
EGY,ISR,04,20130108,4
EGY,NAM,13,20130108,4
ESP,DEU,04,20130108,7
FRA,FRA,11,20130108,4
FRA,MLI,08,20130108,7
FRA,MLI,08,20130108,8
FRA,MLI,08,20130108,2
FRA,USA,04,20130108,2
FRA,USA,04,20130108,15
FRA,USA,04,20130108,6
GBR,AUS,02,20130108,8
GBR,AUS,02,20130108,2
GBR,GBR,01,20130108,2
GBR,IRL,12,20130108,4
GBR,IRL,15,20130108,4
GBR,IRL,15,20130108,2
GBR,IRL,15,20130108,2
GBR,CAN,19,20130108,10
GBR,GBR,15,20130108,4
GBR,GBR,15,20130108,4
GBR,IRL,15,20130108,2
GBR,IRL,15,20130108,2
GRC,PAK,17,20130108,2
GRC,PAK,17,20130108,6
GRC,PAK,17,20130108,1
GRC,PAK,17,20130108,6
GRC,PAK,17,20130108,1
HTI,HTI,02,20130108,2
IDN,TWN,01,20130108,8
IDN,TWN,01,20130108,2
EUR,CHE,03,20130108,8
EUR,CHE,03,20130108,2
EUR,CHN,04,20130108,10
EUR,DNK,16,20130108,10
EUR,IRN,08,20130108,5
SEA,USA,02,20130108,8
SEA,USA,02,20130108,2
SEA,USA,05,20130108,10
IND,BTN,05,20130108,10
IND,CHN,03,20130108,2
IND,CHN,01,20130108,2
IRL,USA,03,20130108,2
