Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,05,20050606,4
USA,ABW,06,20110810,2
ABW,ABW,11,20120803,6
PER,ABW,01,20120620,3
ABW,ABW,19,20140725,2
AFG,AFG,02,20140630,1
DEU,AFG,01,20091116,7
PAK,AFG,09,20100201,9
CHN,AFG,03,20110617,4
FRA,AFG,07,20090211,6
USA,AFG,06,20030916,1
USA,AFG,03,20130810,10
IRQ,AFG,19,20110920,1
AFG,AFG,04,20040917,7
AFG,AFG,19,20091122,4
AFG,AFG,11,20011126,2
AFG,AFG,08,20081220,1
USA,AFG,18,20110709,7
DEU,AFG,04,20110809,1
USA,AFG,08,20100902,2
USA,AFG,16,20090516,24
AFG,AFG,08,20071028,4
USA,AFG,05,20110620,36
MKD,AFG,04,20070131,1
GBR,AFG,01,20130718,1
IRQ,AFG,02,20140410,16
PAK,AFG,13,20090625,1
TKM,AFG,05,20000905,2
FRA,AFG,13,20110123,7
AFG,AFG,19,20080430,58
GBR,AFG,01,20011205,2
SAU,AFG,05,20100220,1
TJK,AFG,04,20020923,4
IRN,AFG,13,20081019,5
USA,AFG,19,20130530,64
USA,AFG,03,20100512,1
PAK,AFG,04,20141120,4
AFG,AFG,01,20130808,6
CZE,AFG,04,20040921,2
USA,AFG,13,20090817,7
USA,AFG,01,20100108,2
AFG,AFG,17,20020616,9
USA,AFG,12,20120501,2
USA,AFG,01,20100910,2
AFG,AFG,08,20090509,6
IRN,AFG,08,20101108,2
CHN,AFG,09,20090623,2
UZB,AFG,13,20090625,31
WST,AFG,03,20111021,9
IRQ,AFG,08,20101214,3
USA,AFG,05,20020924,5
GBR,AFG,04,20110707,1
PAK,AFG,01,20030516,9
GBR,AFG,01,20080302,14
AUS,AFG,03,20080602,4
RUS,AFG,07,20110404,4
AFG,AFG,08,20120312,18
PAK,AFG,01,20020625,8
USA,AFG,06,20060911,2
NRU,AFG,04,20021214,1
CHN,AFG,06,20120614,1
RUS,AFG,05,20030909,3
GBR,AFG,11,20100921,2
USA,AFG,04,20090503,11
WST,AFG,06,20101107,4
AFG,AFG,07,20121113,5
PAK,AFG,10,20110128,4
PAK,AFG,12,20091012,19
USA,AFG,04,20131113,8
PAK,AFG,17,20120111,1
USA,AFG,12,20120211,3
KAZ,AFG,07,20130606,10
CAN,AFG,01,20110626,1
SLV,AFG,05,20021114,2
BEL,AFG,05,20070218,2
USA,AFG,11,20030809,1
PAK,AFG,18,20141231,4
USA,AFG,09,20110915,1
WST,AFG,02,20041028,6
USA,AFG,19,20091018,9
USA,AFG,17,20120205,4
RUS,AFG,04,20021024,3
AFG,AFG,10,20110823,5
AFG,AFG,01,20090318,2
USA,AFG,02,20090327,5
AFG,AFG,01,20070508,5
USA,AFG,12,20101015,6
USA,AFG,05,20101108,21
USA,AFG,04,20121027,8
PAK,AFG,12,20130116,1
AFG,AFG,18,20120318,5
IRQ,AFG,08,20120429,8
PAK,AFG,04,20130529,4
CAN,AFG,08,20110619,10
WST,AFG,13,20120704,8
PAK,AFG,01,20120723,5
USA,AFG,05,20120918,2
PAK,AFG,04,20120922,20
AFG,AFG,19,20140718,16
IRQ,AFG,08,20101214,1
BHR,AFG,04,20110307,8
USA,AFG,04,20011201,4
GBR,AFG,01,20100202,5
AFG,AFG,04,20020405,4
PAK,AFG,01,20100510,9
USA,AFG,03,20130717,5
AFG,AFG,01,20090310,4
KOR,AFG,07,20070731,4
AFG,AFG,18,20040109,9
DEU,AFG,01,20130730,10
FRA,AFG,04,20101016,4
USA,AFG,01,20101125,2
USA,AFG,01,20131012,1
FIN,AFG,07,20090820,9
AUS,AFG,19,20110206,3
AUS,AFG,04,20110216,2
AFG,AFG,07,20110228,3
TJK,AFG,05,20140926,2
WST,AFG,06,20120315,9
PAK,AFG,14,20131203,4
QAT,AFG,04,20110604,2
PAK,AFG,18,20100106,1
AFG,AFG,08,20130402,2
IRQ,AFG,04,20120528,5
USA,AFG,08,20080130,4
WST,AFG,01,20111124,8
AFG,AFG,08,20120128,3
KWT,AFG,04,20011117,4
AFG,AFG,16,20011129,5
FRA,AFG,18,20110813,1
PAK,AFG,03,20030812,9
ITA,AFG,11,20070731,1
KOR,AFG,04,20070910,9
AFG,AFG,11,20050225,1
TJK,AFG,04,20001104,7
USA,AFG,11,20091013,27
PAK,AFG,04,20131109,20
GBR,AFG,04,20091210,7
WST,AFG,05,20080915,4
IRQ,AFG,08,20140107,10
USA,AFG,04,20110426,19
AFG,AFG,11,20110427,144
AFG,AFG,17,20100214,6
USA,AFG,19,20030607,5
GBR,AFG,19,20070613,1
IRN,AFG,03,20120826,14
USA,AFG,19,20090509,5
PAK,AFG,19,20130925,22
JPN,AFG,03,20011017,5
JOR,AFG,04,20130419,10
USA,AFG,04,20100426,10
PAK,AFG,05,20120602,6
USA,AFG,07,20100729,6
AFG,AFG,02,20070811,4
CHN,AFG,05,20140524,10
IRN,AFG,08,20111018,2
PAK,AFG,04,20111031,24
AFG,AFG,04,20101124,7
EUR,AFG,06,20080122,3
USA,AFG,03,20121205,3
FRA,AFG,08,20110123,7
WST,AFG,04,20091015,36
JPN,AFG,11,20011026,1
