,rank,component,num_matched_datasets,actors,event_count
0,1,127,3,"['IND', 'PAK']",572484
1,3,128,3,"['ISR', 'PSE']",5688100
2,4,26,1,"['LBN', 'ISR']",417390
3,7,96,3,"['AUS', 'IDN']",308898
4,8,41,1,"['USA', 'AFG']",4111197
5,9,136,0,"['VEN', 'CUB', 'RUS']",121845
6,10,81,2,"['SAU', 'UAE', 'QAT']",184909
7,13,94,2,"['COL', 'VEN', 'ECU']",501382
8,14,48,0,"['USA', 'IRQ']",293644
9,15,71,0,"['USA', 'AFG', 'PAK']",11056197
10,16,110,3,"['SDN', 'USA', 'AFR', 'EGY', 'TCD']",4557563
11,43,88,0,"['PRK', 'KOR', 'CHN', 'JPN', 'USA']",8937624
12,48,83,0,"['SSD', 'SDN']",202726
